,word,count,frequency
0,covid,263,4.5866759679107085
1,china,201,3.5054063480990583
2,says,164,2.86013254272759
3,russia,164,2.86013254272759
4,india,157,2.738053714684339
5,19,132,2.302057900244158
6,new,125,2.179979072200907
7,russian,109,1.9009417509591908
8,vaccine,101,1.7614230903383328
9,president,78,1.360306941053366
10,police,72,1.2556679455877224
11,ukraine,68,1.1859086152772933
12,biden,67,1.168468782699686
13,navalny,64,1.1161492849668644
14,pakistan,61,1.0638297872340425
15,world,57,0.9940704569236135
16,military,57,0.9940704569236135
17,amid,57,0.9940704569236135
18,000,56,0.9766306243460063
19,france,55,0.9591907917683989
20,coronavirus,54,0.9417509591907918
21,japan,53,0.9243111266131846
22,dies,51,0.88943146145797
23,court,50,0.8719916288803629
24,chinese,50,0.8719916288803629
25,uk,49,0.8545517963027555
26,troops,49,0.8545517963027555
27,climate,48,0.8371119637251482
28,south,47,0.819672131147541
29,eu,47,0.819672131147541
30,myanmar,46,0.8022322985699336
31,report,46,0.8022322985699336
32,sea,45,0.7847924659923264
33,iran,43,0.749912800837112
34,government,43,0.749912800837112
35,cases,43,0.749912800837112
36,people,43,0.749912800837112
37,czech,42,0.7324729682595047
38,hong,42,0.7324729682595047
39,news,42,0.7324729682595047
40,war,41,0.7150331356818975
41,kong,40,0.6975933031042902
42,year,39,0.680153470526683
43,french,39,0.680153470526683
44,putin,39,0.680153470526683
45,protests,39,0.680153470526683
46,afghanistan,38,0.6627136379490757
47,brazil,38,0.6627136379490757
48,country,38,0.6627136379490757
49,say,38,0.6627136379490757
50,sanctions,38,0.6627136379490757
51,killed,37,0.6452738053714684
52,israel,37,0.6452738053714684
53,nuclear,37,0.6452738053714684
54,women,37,0.6452738053714684
55,warns,36,0.6278339727938612
56,million,36,0.6278339727938612
57,chad,35,0.6103941402162539
58,amp,35,0.6103941402162539
59,security,33,0.5755144750610395
60,day,33,0.5755144750610395
61,foreign,33,0.5755144750610395
62,talks,32,0.5580746424834322
63,diplomats,32,0.5580746424834322
64,state,32,0.5580746424834322
65,years,32,0.5580746424834322
66,anti,31,0.5406348099058249
67,near,31,0.5406348099058249
68,australia,30,0.5231949773282176
69,dead,29,0.5057551447506103
70,leave,29,0.5057551447506103
71,minister,29,0.5057551447506103
72,media,29,0.5057551447506103
73,taiwan,29,0.5057551447506103
74,philippines,29,0.5057551447506103
75,party,29,0.5057551447506103
76,hospital,29,0.5057551447506103
77,18,29,0.5057551447506103
78,ban,28,0.48831531217300317
79,crisis,28,0.48831531217300317
80,global,28,0.48831531217300317
81,plan,28,0.48831531217300317
82,set,27,0.4708754795953959
83,castro,27,0.4708754795953959
84,pm,27,0.4708754795953959
85,surge,26,0.4534356470177886
86,change,26,0.4534356470177886
87,attack,26,0.4534356470177886
88,cuba,26,0.4534356470177886
89,tigray,26,0.4534356470177886
90,prison,25,0.43599581444018143
91,human,25,0.43599581444018143
92,vaccines,25,0.43599581444018143
93,variant,25,0.43599581444018143
94,group,25,0.43599581444018143
95,mass,25,0.43599581444018143
96,virus,24,0.4185559818625741
97,calls,24,0.4185559818625741
98,end,24,0.4185559818625741
99,european,24,0.4185559818625741
100,pandemic,24,0.4185559818625741
101,emissions,24,0.4185559818625741
102,man,24,0.4185559818625741
103,expels,23,0.4011161492849668
104,record,23,0.4011161492849668
105,north,23,0.4011161492849668
106,2021,23,0.4011161492849668
107,zealand,23,0.4011161492849668
108,border,23,0.4011161492849668
109,study,22,0.38367631670735963
110,xinjiang,22,0.38367631670735963
111,death,22,0.38367631670735963
112,germany,22,0.38367631670735963
113,chief,22,0.38367631670735963
114,second,22,0.38367631670735963
115,black,22,0.38367631670735963
116,australian,22,0.38367631670735963
117,moscow,22,0.38367631670735963
118,canada,22,0.38367631670735963
119,said,21,0.36623648412975235
120,canadian,21,0.36623648412975235
121,tensions,21,0.36623648412975235
122,confirms,21,0.36623648412975235
123,national,21,0.36623648412975235
124,official,21,0.36623648412975235
125,parliament,21,0.36623648412975235
126,right,20,0.3487966515521451
127,rights,20,0.3487966515521451
128,video,20,0.3487966515521451
129,hit,20,0.3487966515521451
130,old,20,0.3487966515521451
131,egypt,20,0.3487966515521451
132,linked,20,0.3487966515521451
133,expel,20,0.3487966515521451
134,super,20,0.3487966515521451
135,trial,20,0.3487966515521451
136,forces,19,0.33135681897453784
137,health,19,0.33135681897453784
138,woman,19,0.33135681897453784
139,oxygen,19,0.33135681897453784
140,league,19,0.33135681897453784
141,plans,19,0.33135681897453784
142,idriss,19,0.33135681897453784
143,depot,19,0.33135681897453784
144,deaths,19,0.33135681897453784
145,protest,19,0.33135681897453784
146,water,19,0.33135681897453784
147,blast,19,0.33135681897453784
148,face,19,0.33135681897453784
149,flight,18,0.3139169863969306
150,leader,18,0.3139169863969306
151,election,18,0.3139169863969306
152,house,18,0.3139169863969306
153,case,18,0.3139169863969306
154,just,18,0.3139169863969306
155,home,18,0.3139169863969306
156,europe,18,0.3139169863969306
157,power,18,0.3139169863969306
158,republic,18,0.3139169863969306
159,explosion,18,0.3139169863969306
160,nasa,18,0.3139169863969306
161,social,18,0.3139169863969306
162,democracy,18,0.3139169863969306
163,help,18,0.3139169863969306
164,duterte,18,0.3139169863969306
165,patients,18,0.3139169863969306
166,ethiopia,17,0.2964771538193233
167,west,17,0.2964771538193233
168,deadly,17,0.2964771538193233
169,data,17,0.2964771538193233
170,children,17,0.2964771538193233
171,asks,17,0.2964771538193233
172,critic,17,0.2964771538193233
173,raul,17,0.2964771538193233
174,fukushima,17,0.2964771538193233
175,shooting,17,0.2964771538193233
176,shot,17,0.2964771538193233
177,2014,17,0.2964771538193233
178,risk,17,0.2964771538193233
179,kremlin,17,0.2964771538193233
180,build,17,0.2964771538193233
181,despite,17,0.2964771538193233
182,20,17,0.2964771538193233
183,army,16,0.2790373212417161
184,ambassador,16,0.2790373212417161
185,indian,16,0.2790373212417161
186,groups,16,0.2790373212417161
187,ukrainian,16,0.2790373212417161
